nbagameid,off_team,O_rank_1,O_rank_2,O_rank_3,O_rank_4,O_rank_5,O_rank_6,O_rank_7,O_rank_8,O_rank_9,O_rank_10,O_rank_11,off_home,Oefg,OTORatio,O_reb_perc,OFTRate,O_west_conference,O_win,O_rank,Defg,DTORatio,D_reb_perc,DFTRate,D_west_conference,D_rank,def_team,D_rank_1,D_rank_2,D_rank_3,D_rank_4,D_rank_5,D_rank_6,D_rank_7,D_rank_8,D_rank_9,D_rank_10,D_rank_11
22300174,BOS,0.69186736,0.50966667,0.60401617,0.62685205,0.49415323,0.42207792,0.51574803,0.67240114,0.19731177,0,0.09975669,1,0.63372093,0.13541667,0.18604651,0.09302326,0,1,0,0.58152174,0.13541667,0.2745098,0.06521739,0,0.21428571,CLE,0.6759431,0.77307772,0.46571136,0.69698877,0.83622379,0.36485981,0.50881705,0,0.43344535,0,0
22300188,BOS,0.80100261,0.62206667,0.69509595,0.77627976,0.3906586,0.4908327,0.4670723,0.81581737,0,0,0,1,0.62658228,0.12941176,0.28205128,0.18987342,0,1,0,0.54819277,0.16842105,0.27272727,0.19277108,0,0.21428571,CLE,0.72634508,0.65013544,0.71750256,0.78974393,0.79835817,0.39962617,0.48787656,0,0.34555815,0,0
22300210,CLE,0.59309691,0.633,0,0,0.66196237,0,0.49821045,0.7729311,0.54326257,0.59407593,0,1,0.61585366,0.14736842,0.3,0.24390244,0,1,0.21428571,0.48684211,0.07476636,0.33823529,0.13157895,0,0,BOS,0.75912183,0.83697993,0.8444217,0.7082519,0.42894649,0.46280374,0.84570169,0,0,0,0.11542534
22300055,CLE,0.60556177,0.7054,0.56678229,0.7366758,0.75705645,0.37692895,0.40536865,0.83342845,0,0,0,1,0.60752688,0.16831683,0.31818182,0.16129032,0,1,0.21428571,0.67391304,0.09574468,0.34883721,0.2173913,0,0,BOS,0,0.60984927,0.59808939,0.67247491,0.6541434,0.78093458,0,0.61411806,0,0,0.35227674
22300080,BOS,0.84070047,0.72733333,0.63997709,0.76644899,0.26209677,0.23376623,0.52916965,0.73766816,0,0,0.29266597,1,0.55789474,0.15306122,0.38181818,0.13684211,0,1,0,0.51136364,0.14130435,0.39622642,0.21590909,0,0.21428571,CLE,0.64749536,0.84357852,0,0,0,0.77271028,0.46032329,0,0.79595266,0,0
22300081,CLE,0,0.752,0.60051555,0.88526087,0,0.6407563,0.45014316,0.8259682,0.59395709,0,0,1,0.47826087,0.13333333,0.21052632,0.18478261,0,0,0.21428571,0.57692308,0.08247423,0.28,0.23076923,0,0,BOS,0.76345083,0.73254845,0.66393722,0.75850532,0.28314166,0.32934579,0.51506245,0.73893852,0,0,0
22300118,BOS,0.53890187,0.53566667,0.48531331,0.53472369,0.52923387,0.44652406,0.2372942,0.66225031,0.13516043,0,0.4070212,1,0.67368421,0.12149533,0.36585366,0.28421053,0,1,0,0.52717391,0.16161616,0.4,0.17391304,0,0.21428571,CLE,0.65646259,0.69840939,0.57284203,0,0,0.86542056,0.52567965,0,0.70068673,0,0
22300058,MIN,0.56853978,0.7233,0.71030774,0,0.64096102,0.5829259,0.55762348,0.55686914,0,0.2886942,0.4379562,1,0.51282051,0.20408163,0.33333333,0.33333333,1,1,0.14285714,0.6125,0.14563107,0.0952381,0.2375,0,0.42857143,PHI,0.74437229,0.76891019,0,0.6453109,0,0.56691589,0.25495959,0,0,0.32908679,0.76985528
22300093,MIN,0.67811537,0.616,0.55118862,0,0.625,0.65164248,0.48926271,0.56135344,0,0.43679599,0.30239833,1,0.58139535,0.16326531,0.20454545,0.06976744,1,1,0.14285714,0.55813953,0.11827957,0.33333333,0.20930233,0,0.42857143,PHI,0.75108225,0.74529416,0,0.58303243,0,0.47551402,0.27994122,0,0,0.4109035,0.7469114
22300098,PHI,0.7044677,0.75433333,0,0.54244786,0,0.44690604,0.36614173,0,0,0.51155611,0.61209593,1,0.55487805,0.15686275,0.34090909,0.42682927,0,1,0.42857143,0.54605263,0.12631579,0.2173913,0.36842105,0,0.14285714,MIL,0.56709957,0.5761617,0.33947458,0.50054659,0.4148948,0.50841121,0.37619398,0,0.54865576,0.46267087,0.11683727
22300132,PHI,0.73535887,0.68916667,0,0.74011656,0,0,0.31424481,0,0,0.29891531,0.64407369,1,0.53888889,0.18367347,0.375,0.16666667,0,1,0.42857143,0.5625,0.09803922,0.29411765,0.21875,0,0.14285714,MIL,0.63358071,0.73313885,0.55407711,0.2769404,0.57234774,0.43708411,0.46546657,0,0.66408533,0.39674836,0
22300138,MIN,0.72553602,0.56933333,0.53845909,0.42061653,0.64492608,0.50683728,0.37508948,0.65923359,0,0.38118481,0.07473062,1,0.61111111,0.11578947,0.275,0.2962963,1,1,0.14285714,0.60493827,0.22680412,0.26829268,0.19753086,0,0.42857143,PHI,0.70729746,0.60849483,0,0,0,0,0.58570904,0,0.30902981,0.51819947,0
22300148,PHI,0.6428886,0.611,0,0.55824731,0,0,0.29026485,0,0.3920027,0.29036295,0.63468891,1,0.62637363,0.14545455,0.30952381,0.35164835,0,1,0.42857143,0.53061224,0.19090909,0.27777778,0.09183673,0,0.14285714,MIL,0.78787879,0.80919636,0.79392699,0.81392652,0.69334024,0,0.5859662,0,0,0.27905848,0
22300154,MIN,0.77634387,0.815,0.69146803,0.95744681,0.56058468,0.576356,0.42304939,0.6163881,0,0.06716729,0,1,0.59411765,0.22018349,0.2244898,0.15294118,1,1,0.14285714,0.54255319,0.15533981,0.30909091,0.18085106,0,0.42857143,PHI,0,0.78905327,0,0,0,0,0.47281411,0,0,0.9297905,0
22300109,OKC,0.66693764,0.48026667,0.49527416,0.6614704,0.57157258,0.50152788,0.42090193,0,0,0,0,1,0.60843373,0.14705882,0.225,0.27710843,1,1,0,0.59146341,0.15,0.19565217,0.24390244,1,0.28571429,DAL,0.65058751,0,0.6311839,0.73210322,0.73845357,0.6357757,0,0.41618497,0.34519287,0,0.23720438
22300121,OKC,0.7732954,0.74533333,0.56407727,0.80155888,0.63044355,0.41680672,0.30944882,0.33860579,0,0,0,1,0.47159091,0.14563107,0.21568627,0.26136364,1,0,0,0.58823529,0.05607477,0.18518519,0.15686275,1,0.28571429,DAL,0.51607916,0,0.57659502,0.57475072,0.47738786,0.48149533,0,0.58293922,0.57459088,0.31747958,0.14860572
22300124,DAL,0.81302713,0,0.52452026,0,0.60685484,0.7158518,0,0.64166327,0.74806245,0.25156446,0.29662843,1,0.58024691,0.15957447,0.33333333,0.24691358,1,1,0.28571429,0.54878049,0.09375,0.18181818,0.25609756,1,0,OKC,0.68243661,0.69153296,0.67512794,0.74966045,0.70776171,0.37263551,0.36113152,0.26239271,0,0,0.26579598
22300143,DAL,0.73908478,0,0.6151545,0.71381925,0.62768817,0.38246753,0,0.57806767,0.72806919,0.08218607,0.30726451,1,0.54945055,0.10679612,0.26415094,0.26373626,1,1,0.28571429,0.61494253,0.13402062,0.30232558,0.24137931,1,0,OKC,0.54214595,0.56400639,0.48925281,0.57697022,0.57870798,0.57383178,0.55209405,0.23296549,0,0.42716169,0.08189199
22300155,OKC,0.75974664,0.6765,0.60242498,0.75995365,0.55325941,0.55271199,0.43110236,0.17183041,0,0,0.2632951,1,0.55319149,0.12264151,0.24,0.23404255,1,1,0,0.57281553,0.10679612,0.25925926,0.06796117,1,0.28571429,DAL,0.65398887,0,0.53735926,0.66982476,0.83829457,0.42990654,0,0.41338238,0.5226841,0.27380086,0
